"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","delete","delete()",""
"passed","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","2","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","prepareForPayment","Prepare for payment",""
"passed","Sat Apr 10 20:34:15 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","812","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","debitAccountAndTransferFunds","Debit and transfer funds",""
"passed","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","79","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","transferFunds","Transfer funds",""
"passed","Sat Apr 10 20:34:15 GMT 2021","Sat Apr 10 20:34:15 GMT 2021","1","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[2] DEBIT, 400.0, 100.0, 300.0",""
"passed","Sat Apr 10 20:34:15 GMT 2021","Sat Apr 10 20:34:15 GMT 2021","56","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[1] CREDIT, 100.0, 200.0, 300.0",""
"passed","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","1","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","creditAccount","Credit account",""
"passed","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","2","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","requestPayment","Request payment",""
"passed","Sat Apr 10 20:34:15 GMT 2021","Sat Apr 10 20:34:15 GMT 2021","5","","Account","","com.costa.luiz.domain.payment.AccountShould","account","account()",""
"skipped","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","save","save()",""
"failed","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","4","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","findAll","findAll()",""
"passed","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","1","","Feature - Payment methods","","com.costa.luiz.domain.payment.PaymentMethodTest","paymentMethod","paymentMethod()",""
"passed","Sat Apr 10 20:34:16 GMT 2021","Sat Apr 10 20:34:16 GMT 2021","17","","com.costa.luiz.domain.payment.SimpleTest","","com.costa.luiz.domain.payment.SimpleTest","testOutput","testOutput()",""
