"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","18","","com.costa.luiz.domain.payment.SimpleTest","","com.costa.luiz.domain.payment.SimpleTest","testOutput","testOutput()",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","2","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","requestPayment","Request payment",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","0","","Feature - Payment methods","","com.costa.luiz.domain.payment.PaymentMethodTest","paymentMethod","paymentMethod()",""
"passed","Sun Apr 11 09:27:07 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","622","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","debitAccountAndTransferFunds","Debit and transfer funds",""
"passed","Sun Apr 11 09:27:07 GMT 2021","Sun Apr 11 09:27:07 GMT 2021","2","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[2] DEBIT, 400.0, 100.0, 300.0",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","1","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","save","save()",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","4","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","creditAccount","Credit account",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","1","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","findAll","findAll()",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","70","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","transferFunds","Transfer funds",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","4","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","prepareForPayment","Prepare for payment",""
"passed","Sun Apr 11 09:27:08 GMT 2021","Sun Apr 11 09:27:08 GMT 2021","1","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","delete","delete()",""
"passed","Sun Apr 11 09:27:07 GMT 2021","Sun Apr 11 09:27:07 GMT 2021","54","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[1] CREDIT, 100.0, 200.0, 300.0",""
