"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","4","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","creditAccount","Credit account",""
"passed","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","123","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","transferFunds","Transfer funds",""
"passed","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","1","","Feature - Payment methods","","com.costa.luiz.domain.payment.PaymentMethodTest","paymentMethod","paymentMethod()",""
"skipped","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","save","save()",""
"passed","Thu Apr 08 11:39:10 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","1001","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","debitAccountAndTransferFunds","Debit and transfer funds",""
"passed","Thu Apr 08 11:39:10 GMT 2021","Thu Apr 08 11:39:10 GMT 2021","1","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[2] DEBIT, 400.0, 100.0, 300.0",""
"skipped","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","delete","delete()",""
"failed","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","7","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","findAll","findAll()",""
"passed","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","3","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","requestPayment","Request payment",""
"passed","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","5","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","prepareForPayment","Prepare for payment",""
"passed","Thu Apr 08 11:39:10 GMT 2021","Thu Apr 08 11:39:10 GMT 2021","73","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[1] CREDIT, 100.0, 200.0, 300.0",""
"passed","Thu Apr 08 11:39:11 GMT 2021","Thu Apr 08 11:39:11 GMT 2021","31","","com.costa.luiz.domain.payment.SimpleTest","","com.costa.luiz.domain.payment.SimpleTest","testOutput","testOutput()",""
