"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:21 GMT 2021","78","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","transferFunds","Transfer funds",""
"passed","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","4","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","prepareForPayment","Prepare for payment",""
"passed","Wed Apr 07 22:16:21 GMT 2021","Wed Apr 07 22:16:21 GMT 2021","1","","Feature - Payment methods","","com.costa.luiz.domain.payment.PaymentMethodTest","paymentMethod","paymentMethod()",""
"passed","Wed Apr 07 22:16:19 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","97","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[1] CREDIT, 100.0, 200.0, 300.0",""
"passed","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","1","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","findAll","findAll()",""
"skipped","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","delete","delete()",""
"passed","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","13","","com.costa.luiz.domain.payment.SimpleTest","","com.costa.luiz.domain.payment.SimpleTest","testOutput","testOutput()",""
"skipped","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","save","save()",""
"passed","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","2","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","creditAccount","Credit account",""
"passed","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","3","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[2] DEBIT, 400.0, 100.0, 300.0",""
"passed","Wed Apr 07 22:16:20 GMT 2021","Wed Apr 07 22:16:20 GMT 2021","709","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","debitAccountAndTransferFunds","Debit and transfer funds",""
"passed","Wed Apr 07 22:16:21 GMT 2021","Wed Apr 07 22:16:21 GMT 2021","4","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","requestPayment","Request payment",""
